afTimesInSeconds	afPressures1	afPressures2	afPressures3	afPressures4	afPressures5	afPressures6	afPressures7	afPressures8	afAveragePressure	abActiveZones
30.157	0.000	2.000	2.000	8.000	8.000	13.000	10.000	1.000	6.289	1.000
30.279	0.000	2.000	2.000	7.000	7.000	12.000	9.000	1.000	5.715	1.000
30.394	0.000	2.000	2.000	5.000	5.000	9.000	8.000	1.000	4.567	1.000
30.520	0.000	2.000	2.000	4.000	4.000	8.000	7.000	1.000	3.993	1.000
30.639	0.000	2.000	2.000	4.000	4.000	8.000	7.000	1.000	3.993	1.000
30.818	0.000	2.000	2.000	4.000	4.000	7.000	6.000	0.000	3.576	1.000
31.002	0.000	2.000	2.000	4.000	4.000	6.000	5.000	0.000	3.290	1.000
31.119	0.000	1.000	1.000	3.000	3.000	6.000	5.000	0.000	2.719	1.000
31.235	0.000	1.000	1.000	3.000	4.000	6.000	5.000	0.000	2.875	1.000
31.356	0.000	1.000	1.000	4.000	5.000	8.000	6.000	0.000	3.592	1.000
31.481	0.000	2.000	1.000	6.000	7.000	11.000	7.000	1.000	4.989	1.000
31.601	0.000	2.000	2.000	7.000	8.000	11.000	7.000	1.000	5.443	1.000
31.723	0.000	2.000	2.000	6.000	8.000	11.000	7.000	1.000	5.312	1.000
31.840	0.000	2.000	1.000	5.000	5.000	8.000	6.000	0.000	3.841	1.000
31.961	0.000	2.000	1.000	4.000	4.000	7.000	6.000	0.000	3.410	1.000
32.139	0.000	0.000	0.000	3.000	3.000	6.000	6.000	0.000	2.578	1.000
32.261	0.000	0.000	0.000	2.000	2.000	5.000	5.000	0.000	2.004	0.000
32.378	0.000	0.000	0.000	2.000	3.000	6.000	6.000	0.000	2.446	0.000
32.504	0.000	0.000	0.000	3.000	3.000	6.000	6.000	0.000	2.578	1.000
32.618	0.000	0.000	0.000	3.000	3.000	7.000	6.000	0.000	2.721	1.000
32.741	0.000	0.000	0.000	3.000	4.000	7.000	6.000	1.000	3.009	1.000
32.861	0.000	0.000	0.000	3.000	3.000	6.000	6.000	0.000	2.578	1.000
32.982	0.000	0.000	0.000	2.000	3.000	5.000	4.000	-1.000	1.887	0.000
33.095	0.000	0.000	0.000	2.000	2.000	3.000	3.000	-2.000	1.170	0.000
33.218	0.000	0.000	-1.000	2.000	2.000	2.000	2.000	-2.000	0.719	0.000
33.339	0.000	1.000	-1.000	2.000	2.000	2.000	1.000	-2.000	0.693	0.000
33.518	0.000	1.000	-1.000	2.000	1.000	1.000	1.000	-3.000	0.262	0.000
33.639	0.000	1.000	0.000	1.000	1.000	0.000	0.000	-3.000	0.011	0.000
33.821	0.000	1.000	0.000	1.000	1.000	0.000	0.000	-3.000	0.011	0.000
33.938	0.000	1.000	0.000	1.000	1.000	0.000	0.000	-3.000	0.011	0.000
34.120	0.000	1.000	0.000	1.000	0.000	0.000	0.000	-3.000	-0.146	0.000
